***************************** Top of Data ******************************
DU903233359990101111      20250425                                      
DU001267890000101112      20240343                                      
PA902233739990101113      20110229                                      
PA123123123120202114      20250430                                      
CI001365550000202130      20250430                                      
PA000833339990101115     *20240428                                      
CC001233333000105116      20240413                                      
LD001234490000106117      20240432                                      
DU098880000000101118      20240331                                      
DU001888890000101119  à   20240131                                      
DU000220001600101120      20230330                                      
PE007777890000101230      20230330                                      
DU000230001900101121     %20090532                                      
**************************** Bottom of Data ****************************
