---------+---------+---------+---------+---------+---------+---------+---------
TIPCUEN  NROCUEN  SUCUEN  NROCLI      SALDO  FECSAL                            
---------+---------+---------+---------+---------+---------+---------+---------
01          123.      1.     10.     135.40  2025-06-01                        
02          111.      1.     11.     115.00  2025-06-01                        
01          133.      2.     13.     100.00  2025-06-01                        
01          444.      3.     15.     200.50  2025-06-01                        
01          666.      3.     16.     300.50  2025-06-01                        
01          345.      4.     17.     300.50  2025-06-01                        
01          678.      4.     18.     231.50  2025-06-01                        
01          222.      5.     20.     444.50  2025-06-01                        
01          899.      5.     21.     234.50  2025-06-01                        
01          778.      6.     22.     111.50  2025-06-01                        
01          777.      7.     23.     121.50  2025-06-01                        
02        12346.      1.    124.   10500.50  2025-06-06                        
02        12356.      2.    134.   10500.50  2025-06-06                        
02        14356.      3.    135.   10500.50  2025-06-06                        
02         4357.      3.    135.     100.00  2025-05-06                        
02         4358.      3.    125.     100.00  2025-05-06                        
02         4359.      3.    125.     100.00  2025-05-06                        
03         4359.      4.    115.     100.00  2025-05-06                        
